12953,10004,author_write_paper
12953,588,author_in_affiliation
12953,13235,author_write_paper
12953,4459,author_write_paper
12953,11358,author_write_paper
12953,4272,author_in_affiliation
12953,5227,author_write_paper
12953,10183,author_write_paper
12953,11026,author_write_paper
10004,9356,paper_cite_paper
10004,4523,paper_cite_paper
10004,1483,paper_in_domain
10004,4119,paper_in_venue
10004,1820,paper_in_domain
10004,4906,paper_cite_paper
10004,10586,paper_cite_paper
10004,6510,paper_cite_paper
13235,8340,paper_cite_paper
13235,4119,paper_in_venue
13235,672,paper_in_domain
13235,1856,paper_in_domain
13235,14318,paper_cite_paper
13235,13445,paper_cite_paper
13235,9538,paper_cite_paper
4459,7868,paper_cite_paper
4459,203,paper_in_domain
4459,696,paper_in_domain
4459,9064,paper_cite_paper
4459,4117,paper_in_venue
4459,1080,paper_in_domain
4459,11438,paper_cite_paper
4459,867,paper_in_domain
4459,1896,paper_in_domain
11358,153,paper_in_domain
11358,2099,paper_in_domain
11358,954,paper_in_domain
11358,4126,paper_in_venue
5227,5767,paper_cite_paper
5227,4119,paper_in_venue
5227,12240,paper_cite_paper
5227,4625,paper_cite_paper
5227,1896,paper_in_domain
10183,2512,paper_in_domain
10183,655,paper_in_domain
10183,4088,paper_in_venue
10183,1655,paper_in_domain
10183,903,paper_in_domain
10183,4390,paper_cite_paper
10183,1951,paper_in_domain
11026,655,paper_in_domain
11026,4088,paper_in_venue
11026,4390,paper_cite_paper
11026,903,paper_in_domain
9356,4088,paper_in_venue
9356,1820,paper_in_domain
9356,7880,paper_cite_paper
9356,1849,paper_in_domain
4523,4117,paper_in_venue
4523,1856,paper_in_domain
4523,1246,paper_in_domain
4523,4909,paper_cite_paper
4906,9025,paper_cite_paper
4906,12310,paper_cite_paper
4906,6317,paper_cite_paper
4906,1015,paper_in_domain
4906,4117,paper_in_venue
10586,4088,paper_in_venue
10586,1924,paper_in_domain
10586,1709,paper_in_domain
6510,2110,paper_in_domain
6510,1709,paper_in_domain
6510,203,paper_in_domain
6510,4119,paper_in_venue
6510,10586,paper_cite_paper
8340,203,paper_in_domain
8340,2649,paper_in_domain
8340,9256,paper_cite_paper
8340,672,paper_in_domain
8340,10011,paper_cite_paper
8340,1863,paper_in_domain
8340,8869,paper_cite_paper
8340,4088,paper_in_venue
14318,1635,paper_in_domain
14318,4088,paper_in_venue
14318,14773,paper_cite_paper
14318,13796,paper_cite_paper
13445,4088,paper_in_venue
13445,13709,paper_cite_paper
13445,2320,paper_in_domain
13445,13014,paper_cite_paper
9538,203,paper_in_domain
9538,4088,paper_in_venue
9538,1896,paper_in_domain
7868,3777,paper_in_domain
7868,1513,paper_in_domain
7868,13167,paper_cite_paper
7868,1849,paper_in_domain
7868,14255,paper_cite_paper
7868,4117,paper_in_venue
9064,4088,paper_in_venue
9064,2478,paper_in_domain
9064,867,paper_in_domain
9064,203,paper_in_domain
11438,2770,paper_in_domain
11438,1286,paper_in_domain
11438,4088,paper_in_venue
11438,203,paper_in_domain
11438,11676,paper_cite_paper
5767,4119,paper_in_venue
5767,5594,paper_cite_paper
5767,12240,paper_cite_paper
5767,1493,paper_in_domain
5767,1856,paper_in_domain
5767,1413,paper_in_domain
12240,4088,paper_in_venue
12240,163,paper_in_domain
12240,1493,paper_in_domain
12240,4586,paper_cite_paper
12240,1856,paper_in_domain
12240,1433,paper_in_domain
4625,203,paper_in_domain
4625,10478,paper_cite_paper
4625,4117,paper_in_venue
4625,12054,paper_cite_paper
4625,126,paper_in_domain
4390,12695,paper_cite_paper
4390,4119,paper_in_venue
4390,1302,paper_in_domain
4390,903,paper_in_domain
4390,2548,paper_cite_paper
7880,2070,paper_in_domain
7880,1820,paper_in_domain
7880,4117,paper_in_venue